elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high	event_max	event_oom	event_oom_kill	swap_event_max	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
75.1	79682506752	41042276352	3796992	0	3313664	42963501056	51802677248	88046829568	83751862272	40788361216	3600601088	39074643968	38422020096	389120	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	21	0
76.1	76601098240	44514037760	3870720	0	3313664	49811755008	51802677248	88046829568	83751862272	33940107264	6956896256	42551070720	38304366592	389120	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	21	0
77.1	76054319104	46394241024	1421545472	8388608	3313664	51801870336	51802677248	88046829568	83751862272	31949991936	7023267840	44426518528	38370615296	1418063872	8388608	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	21	0
78.2	78741053440	42387922944	3936256	0	3313664	45542686720	51802677248	88046829568	83751862272	38209175552	4830646272	40422600704	36199202816	446464	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	22	0
79.2	75834683392	44582100992	3936256	0	3313664	50636656640	51802677248	88046829568	83751862272	33115205632	7717285888	42614394880	38391742464	446464	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	22	0
80.2	79958962176	42444472320	4005888	0	3313664	44362452992	51802677248	88046829568	83751862272	39389409280	3600814080	40473403392	38422020096	499712	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	23	0
81.2	76876185600	44250988544	4014080	0	3313664	49280712704	51802677248	88046829568	83751862272	34471149568	6693949440	42285969408	38041182208	499712	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	23	0
82.2	76299644928	46237376512	1656569856	0	3313664	51642830848	51802677248	88046829568	83751862272	32109031424	7023484928	44269559808	38370615296	1653055488	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	23	0
83.2	78914793472	42223316992	4087808	0	3313664	45212553216	51802677248	88046829568	83751862272	38539309056	4664647680	40257986560	36033110016	557056	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	24	0
84.2	76093239296	44582633472	4087808	0	3313664	50387189760	51802677248	88046829568	83751862272	33364672512	7468175360	42614759424	38391742464	557056	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	24	0
85.3	79830376448	43804336128	4149248	0	3313664	45728280576	51802677248	88046829568	83751862272	38023581696	3601031168	41834770432	38422020096	610304	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	25	0
86.3	77160398848	43958775808	4198400	0	3313664	48699326464	51802677248	88046829568	83751862272	35052535808	6403911680	41996337152	37750906880	610304	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	25	0
87.3	76060557312	45434650624	855674880	0	3313664	50818551808	51802677248	88046829568	83751862272	32933310464	7023697920	43468812288	38370615296	852054016	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	25	0
88.3	79259701248	41893699584	4321280	0	3313664	44554158080	51803164672	88046829568	83751862272	39197704192	4337045504	39929638912	35705106432	667648	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	26	0
89.3	76557975552	44582977536	4304896	0	3313664	49940856832	51803164672	88046829568	83751862272	33811005440	7023800320	42615123968	38391742464	667648	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	26	0
90.3	79034310656	44612276224	3678208	0	3313664	46541946880	51803164672	88046829568	83751862272	37209915392	3601240064	42644496384	38422020096	57344	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	27	0
91.3	77590409216	43551809536	3723264	0	3313664	47880069120	51803164672	88046829568	83751862272	35871793152	5994737664	41587220480	37341560832	57344	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	27	0
92.4	76086636544	44596051968	14209024	0	3313664	49956827136	51803164672	88046829568	83751862272	33795035136	7023910912	42628206592	38370615296	10543104	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	27	0
93.4	79605239808	41531944960	3780608	0	3313664	43827851264	51804401664	88046829568	83751862272	39924011008	3974541312	39567794176	35342606336	114688	0	0	4294967296	0	0	0	0	0	0.0	26	0	0	2	28	0
