elapsed_s	mem_available	cached	dirty	writeback	swap_free_delta	cg_current	cg_peak	cg_max	cg_high	cg_headroom	cg_anon	cg_file	cg_file_mapped	cg_file_dirty	cg_file_writeback	cg_swap_current	cg_swap_max	event_high_delta	event_max_delta	event_oom_delta	event_oom_kill_delta	swap_event_max_delta	psi_full_avg10	pswpin_delta	pswpout_delta	host_oom_kill_delta	pack_version	pack_layers	health
95.4	106331328512	13025284096	2353369088	538968064	0	22380371968	22386843648	107374182400	103079215104	84993810432	10450276352	11674660864	4011241472	2346721280	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	13	0
96.4	106009518080	11414745088	809955328	538968064	0	20725964800	22386843648	107374182400	103079215104	86648217600	10450280448	10064048128	4011241472	803217408	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	14	0
97.4	109912162304	6309539840	1429504	0	0	12114202624	22386843648	107374182400	103079215104	95259979776	7027712000	4942024704	4041388032	4096	0	0	0	0	0	0	0	0	0.0	0	0	0	2	14	0
98.4	108053950464	9242034176	1294336	0	0	18115260416	22386843648	107374182400	103079215104	89258921984	10076057600	7878176768	3658125312	4096	0	0	0	0	0	0	0	0	0.0	0	0	0	2	14	0
99.4	106342576128	9616814080	2396160	0	0	18976702464	22386843648	107374182400	103079215104	88397479936	10561265664	8251777024	4032368640	4096	0	0	0	0	0	0	0	0	0.0	0	0	0	2	14	0
100.4	106042630144	13039591424	2290950144	538968064	0	22380421120	22386843648	107374182400	103079215104	84993761280	10450382848	11674329088	4032368640	2287996928	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	14	0
101.5	106070298624	13039595520	277688320	538968064	0	22380367872	22386843648	107374182400	103079215104	84993814528	10450382848	11674329088	4032368640	274731008	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	14	0
102.5	105983713280	10571194368	949231616	0	0	19839709184	22386843648	107374182400	103079215104	87534473216	10450382848	9199689728	4032368640	945823744	0	0	0	0	0	0	0	0	0.0	0	0	0	2	15	0
103.5	106050596864	11437318144	3366912	603979776	0	20725194752	22386843648	107374182400	103079215104	86648987648	10450382848	10063716352	4032368640	8192	603979776	0	0	0	0	0	0	0	0.0	0	0	0	2	15	0
104.5	108768972800	7892148224	3313664	0	0	15388938240	22386843648	107374182400	103079215104	91985244160	8717361152	6519582720	2278215680	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	15	0
105.5	106451939328	9625722880	3592192	0	0	19922038784	22386843648	107374182400	103079215104	87452143616	11504955392	8252116992	4011241472	8192	0	0	0	0	0	0	0	0	0.0	0	0	0	2	15	0
106.5	107382222848	13048274944	2887176192	538968064	0	22381092864	22386843648	107374182400	103079215104	84993089536	10450505728	11674669056	4011241472	2883592192	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	15	0
107.5	107374936064	13048283136	1150775296	538968064	0	22380900352	22386843648	107374182400	103079215104	84993282048	10450505728	11674669056	4011241472	1147150336	538968064	0	0	0	0	0	0	0	0.0	0	0	0	2	15	0
108.6	107251408896	11209146368	1584889856	0	0	20493262848	22386843648	107374182400	103079215104	86880919552	10450509824	9835466752	4011241472	1583357952	0	0	0	0	0	0	0	0	0.0	0	0	0	2	16	0
